found 65.06s of metadata, from 65 payloads, within /Volumes/video/GoPro Import/2018-07-09/HERO5 Black 3/GOPR0403.MP4
5.56, 42.290197, -71.358886, 10.84, 0.11813
5.62, 42.290191, -71.358889, 10.96, 0.03809
5.67, 42.290185, -71.358892, 11.08, 0.10655
5.73, 42.290180, -71.358895, 11.18, 0.07987
5.78, 42.290174, -71.358898, 11.30, 0.13876
5.84, 42.290168, -71.358902, 11.45, 0.06234
5.89, 42.290163, -71.358905, 11.56, 0.05923
5.95, 42.290157, -71.358908, 11.68, 0.06007
6.01, 42.290151, -71.358911, 11.77, 0.03133
6.06, 42.290146, -71.358914, 11.85, 0.14427
6.12, 42.290140, -71.358917, 11.94, 0.09798
6.17, 42.290134, -71.358920, 12.03, 0.08837
6.23, 42.290128, -71.358923, 12.12, 0.10472
6.28, 42.290122, -71.358925, 12.17, 0.04664
6.34, 42.290115, -71.358928, 12.25, 0.07739
6.39, 42.290109, -71.358931, 12.33, 0.10594
6.45, 42.290103, -71.358934, 12.39, 0.21110
6.51, 42.290097, -71.358936, 12.46, 0.07775
6.56, 42.290090, -71.358938, 12.51, 0.08442
6.62, 42.290084, -71.358941, 12.60, 0.04600
6.67, 42.290078, -71.358943, 12.66, 0.08355
6.73, 42.290071, -71.358946, 12.76, 0.09346
6.78, 42.290065, -71.358948, 12.86, 0.04302
6.84, 42.290058, -71.358951, 12.93, 0.14331
6.89, 42.290051, -71.358953, 13.01, 0.04341
6.95, 42.290045, -71.358955, 13.08, 0.10306
7.01, 42.290038, -71.358957, 13.15, 0.03644
7.06, 42.290031, -71.358959, 13.22, 0.00568
7.12, 42.290025, -71.358961, 13.26, 0.05741
7.17, 42.290018, -71.358964, 13.31, -0.03983
7.23, 42.290011, -71.358966, 13.38, 0.03634
7.28, 42.290004, -71.358968, 13.45, 0.06338
7.34, 42.289997, -71.358970, 13.53, -0.02244
7.40, 42.289990, -71.358971, 13.60, 0.01879
7.45, 42.289983, -71.358973, 13.68, 0.11289
7.51, 42.289976, -71.358975, 13.76, -0.02423
7.56, 42.289969, -71.358977, 13.81, 0.03832
7.62, 42.289962, -71.358979, 13.86, 0.01746
7.67, 42.289955, -71.358981, 13.90, 0.00603
7.73, 42.289948, -71.358982, 13.96, 0.01442
7.78, 42.289941, -71.358984, 14.02, 0.03969
7.84, 42.289934, -71.358986, 14.08, 0.04289
7.90, 42.289927, -71.358987, 14.14, 0.04446
7.95, 42.289912, -71.358991, 14.24, 0.00418
8.01, 42.289905, -71.358992, 14.28, 0.02434
8.06, 42.289898, -71.358994, 14.33, 0.06101
8.12, 42.289890, -71.358996, 14.36, -0.06853
8.17, 42.289883, -71.358997, 14.43, 0.05421
8.23, 42.289876, -71.358999, 14.50, -0.07523
8.29, 42.289868, -71.359000, 14.56, -0.02058
8.34, 42.289861, -71.359002, 14.61, 0.14030
8.40, 42.289853, -71.359003, 14.68, -0.06450
8.45, 42.289845, -71.359005, 14.74, 0.03822
8.51, 42.289838, -71.359007, 14.83, 0.03215
8.56, 42.289830, -71.359008, 14.94, 0.00209
8.62, 42.289822, -71.359010, 15.01, 0.03594
8.67, 42.289814, -71.359011, 15.09, 0.08415
8.73, 42.289807, -71.359013, 15.10, 0.02061
8.79, 42.289799, -71.359014, 15.14, -0.04842
8.84, 42.289791, -71.359016, 15.18, 0.06089
8.90, 42.289784, -71.359017, 15.20, 0.03202
8.95, 42.289776, -71.359019, 15.24, -0.05738
9.01, 42.289768, -71.359020, 15.29, -0.06948
9.06, 42.289761, -71.359021, 15.31, 0.04418
9.12, 42.289753, -71.359023, 15.31, -0.07101
9.18, 42.289745, -71.359024, 15.34, -0.09229
